AriaId,AriaLabel,AriaName,Year,Composer,Librettist,Act,Scene,ActAndScene,Form,Role,RoleType,City,Territory
0220,Did,Lungi_dal,1747,Jommelli,X,2,1,201,Da capo,Didone,Female lover 1,Rome,Italy
0221,Did,Vedi_nel,1747,Jommelli,M,2,3,203,Da capo,Enea,Male lover 1,Rome,Italy
0222,Did,Vivi_superbo,1747,Jommelli,M,3,2,302,Da capo,Enea,Male lover 1,Rome,Italy
0223,Did,Quando_londa,1747,Jommelli,M,3,7,307,Da capo,Osmida,Antagonist,Rome,Italy
0224,Did,A_trionfar,1747,Jommelli,M,3,8,308,Da capo,Enea,Male lover 1,Rome,Italy
0225,Did,Nel_duol,1747,Jommelli,M,3,9,309,Da capo,Selene,Female lover 2,Rome,Italy
0226,Did,Va_crescendo,1747,Jommelli,M,3,10,310,AA ,Didone,Female lover 1,Rome,Italy
0227,Did,Gia_si,1747,Jommelli,M,3,16,316,Da capo,Araspe,Male lover 3,Rome,Italy
0228,Did,Vado_ma,1747,Jommelli,M,3,21,321,recit,Didone,Female lover 1,Rome,Italy
0229,Did,Nel_duol,1742,Hasse,M,3,9,309,Al segno,Selene,Female lover 2,Wermsdorf,Empire
0230,Did,Dovrei_ma,1753,Perez,M,1,2,102,Al segno,Enea,Male lover 1,Genova,Italy
0231,Did,Gia_si,1742,Hasse,M,3,16,316,Da capo,Araspe,Male lover 3,Wermsdorf,Empire
0232,Did,Ombra_cara,1742,Hasse,X,3,18,318,Da capo,Didone,Female lover 1,Wermsdorf,Empire
0233,Did,Diro_che,1753,Perez,M,1,3,103,Al segno,Selene,Female lover 2,Genova,Italy
0234,Did,Vado_ma,1742,Hasse,M,3,21,321,AB,Didone,Female lover 1,Wermsdorf,Empire
0235,Did,Tu_mi_scorgi,1753,Perez,M,1,6,106,Al segno,Osmida,Antagonist,Genova,Italy
0236,Did,Fra_lo,1753,Perez,M,1,7,107,Al segno,Iarba,Male lover 2,Genova,Italy
0237,Did,Tacero_se,1747,Jommelli,M,2,6,206,Da capo,Araspe,Male lover 3,Rome,Italy
0238,Did,Ah_le,1747,Jommelli,X,2,7,207,Da capo,Enea,Male lover 1,Rome,Italy
0239,Did,Quando_saprai,1753,Perez,M,1,9,109,Al segno,Enea,Male lover 1,Genova,Italy
0240,Did,Veggio_la,1747,Jommelli,M,2,8,208,Da capo,Selene,Female lover 2,Rome,Italy
0241,Did,Son_quel,1753,Perez,M,1,2,112,Al segno,Iarba,Male lover 2,Genova,Italy
0242,Did,Dovrei_ma,1763,Traetta,M,1,2,102,ABAB,Enea,Male lover 1,Venice,Italy
0243,Did,Diro_che,1763,Traetta,M,1,3,103,Da capo,Selene,Female lover 2,Venice,Italy
0244,Did,Se_dalle,1753,Perez,M,1,13,113,Al segno,Araspe,Male lover 3,Genova,Italy
0245,Did,Tu_mi_disarmi,1753,Perez,M,1,16,116,Al segno,Iarba,Male lover 2,Genova,Italy
0246,Did,Fra_lo,1763,Traetta,M,1,7,107,Da capo,Iarba,Male lover 2,Venice,Italy
0247,Did,Sho_la,1753,Perez,X,2,1,201,Al segno,Selene,Female lover 2,Genova,Italy
0248,Did,Pace_non,1763,Traetta,X,1,8,108,Al segno,Araspe,Male lover 3,Venice,Italy
